name,nameEn,fileName,fontSupportType,fontStyle,createdBy,English Support,,,
မြန်မာ 3,Myanmar 3,Myanmar3,unicode,Regular,Myanmar Natural Language Processing (NLP) Research Center,,,,
ဇော်ဂျီဝမ်း,ZawgyiOne,ZawgyiOne,zaygyi,Regular,Zaw Win Myat,,,,
ပိတောက်,Padauk,Padauk,unicode,Regular,,,,,
ပြည်ထောင်စု,Pyidaungsu,Pyidaungsu,unicode,Regular Bold Numbers,,,,,
ဝင်းယူနီအင်းဝ,Win Uni Innwa,WinUniInna,unicode,Regular,,,,,
ယူနီဘားမား,Uni Burma,UniBurma,unicode,Medium FreeHand FFSerif Medium_Serief Regular_MSSerif,,,,,
အမ်မြန်မာဝမ်း,M-Myanmar1,M-Myanmar1,unicode,Bold Normal,,,,,
အမ်မြန်မာတူး,M-Myanmar2,M-Myanmar2,unicode,Regular,,,,,
ကနက,Kannaka,Kannaka,zaygyi,Regular,,,,,
သလွန်,Tharlon,Tharlon,unicode,Regular,,,,,
ဝင်းရီဆက်ချာ,WinResearcher,WinResearcher,win,Regular,,,,,
ဝင်းတောင်ကြီး,WinTaungyi,WinTaungyi,win,Regular Bold,,,,,
ဝင်းစစ်တွေ,WinSittway,WinSittway,win,Regular,,,,,
ဝင်းရန်ကုန်,WinYangon,WnYangon,win,Regular,,,,,
ဝင်းကလော,WinKalaw,WinKalaw,win,Regular Bold,,,,,
ဝင်းအင်းဝ,WinInnwa,WinInnwa,win,Regular Normal,,,,,
အောင်ဆန်း,AungSan,AungSan,zaygyi,Regular,,,,,
စီအီးကော်လက်ရှင်,CeCollection,CeCollection,zaygyi,ClassicNormal ClassicRegular ExecelMedium ExcelNormal FreehandNormal HandWriteNormal HorizontalThickBold Normal RoyalOutline TitleNormal TransparentBold TrueOutlineNormal,,,,,"Bala & Friends (CE Technology) , Fontographer 3.3, Fontograper 3.5, Atech Software,  "
ဝင်းဗားမိ,WinBurmese,WinBurmese,win,Bold Normal,Win Tun (Mr Burma),,,,
ဝင်းပြင်ဦးလွင်,WinPyinOoLwin,WinPyinOoLwin,win,Regular,,,,,
ဝင်းမန္တလေး,WinMandalay,WinMandalay,win,Regular,,,,,
ဝင်းရတနာပုံ,WinYadanapon,WinYadanapon,win,Regular,,,,,
မြနန္ဒာ,Myananda,Myananda,zaygyi,Regular,,,,,
ကေအန်ယူ,KNU,KNU,zaygyi,Normal,,,,,
ကရင်ဖလားဝါး,karen-flower,karen-flower,zaygyi,Normal,,,,,
ရွှေသွေး,ShweThay,ShweThay,,Regular,,,,,
ဝင်းဟားခါး,WinHaka,WinHaka,win,Regular Normal,,,,,
ရွှေပရို,ShwePro,ShwePro,win,BoldItalic Condense_Normal Expand_Normal ExtraHeavy_Bold Heavy_Bold Hollow_Bold Italic Medium_Bold MediumHollow_Bold Ribbon_BoldItalic Serif_Bold Tall_Normal Wide_Bold,,,,,
ကရင်လောဖ,KarenLawplah,KarenLawplah,zaygyi,Regular Bold,Lawplah Min,,,,
စုကြည်,Suukyi,Suukyi,unicode,Regular,,,,,
ဝင်းလွိုင်ကော်,WinLoikaw,WinLoikaw,zaygyi,Regular,,,,,
ဝင်းဘားအံ,WinPhaan,WinPhaan,,Regular,Zaw Htut,,,,
ဝင်းမော်လမြိုင်,WinMawlamyine,WinMawlamyine,,Regular,Zaw Htut,,,,
ကရင်လှုိင်း,KarenHlaing,KarenHlaing,,Regular Normal Medium Normal_Bold Light,Win Tun & Maung Han,,,,
ဝင်းကျောက်တံ,WinKyaukTan,WinKyaukTan,,Regular Normal A,Zaw Htut,,,,
ဝင်းအင်းလေး,WinInnLay,WinInnLay,,Regular Normal A,Zaw Htut,,,,
ကရင်၃_၀,Karen3-0,Karen3-0,,Regular,,,,,
ဝင်းကြေးမုံ,WinKyaeMone,WinKyaeMone,,Regular A,Zaw Htut,,,,
ဝင်းရဝေ,WinYaway,WinYaway,,Heavy,Win Tun,,,,
ဝင်းသံလွင်,WinThanLyin,WinThanLyin,,Regular A,Zaw Htut,,,,
ဝင်းဇင်း,WinZin,WinZin,,ExtraHeavy,Win Tun,,,,
အယ်လ်အမ်ရတနာပုံ,LmYadanapon,LmYadanapon,,Regular,Lwin Moe,,,,
အယ်လ်အမ်ရွှေမင်းသမီး,LmShweMinthamee,LmShweMinthamee,,Regular,Lwin Moe,,,,
အယ်လ်အမ်ရတနာ,LmYadana ,LmYadana ,,Regular,Lwin Moe,,,,
အယ်လ်အမ်မြန္ဒာ,LmMyaNanda,LmMyaNanda,,Regular,Lwin Moe,,,,
အယ်လ်အမ်ဇာနည်ဟယ်ဘီး,LmZarmaniHeavy,LmZarmaniHeavy,,Regular,Lwin Moe,,,,
အယ်လ်အမ်လွင်,LmLwin,LmLwin,,Regular,Lwin Moe,,,,
အယ်လ်အမ်မနှင်းဖူး,LmMaNinPhu,LmMaNinPhu,,Regular,ABSDF,,,,
အယ်လ်အမ်ချာတိတ်လေး,LmChaTateLay,LmChaTateLay,,Regular,ABSDF,,,,
အကယ်ဒမီဖလားဝါးထရူး,AcademyFlowerTrue,AcademyFlowerTrue,,Italic,Khin Mg Latt,,,,
ဝင်းချိုနယူး,WinChoNew,WinChoNew,,A,Win Tun,,,,
အေတိုက်ရိုက်တာ,A_TypeWriter,A_TypeWriter,,Normal Bold,A & T Computer Group,,,,
ဝင်းတောင်ကြီး,WinTagaung,WinTagaung,,Normal,Win Tun,,,,
ပါပီတူး,Perpetua,Perpetua,,Italic BoldItalic TtilingMT_Bold TitlingMT_Light,,,,,
ဝင်းပဲခူး,WinBago,WinBago,,A,M.C.C ENGINEER GROUP,,,,
ယူဖိုးအလုံ,U4AhLone,U4AhLone,,Regular,,,,,
ယူဖိုးဗဟန်း,U4Bahan,U4Bahan,,Regular,,,,,
ယူဖိုးဗိုလ်တထောင်,U4BoTaTaung,U4bBoTaTaung,,Regular,,,,,
ယူဖိုးဒဂုံမြို့သစ်,U4DagonMyoThit,U4DagonMyoThit,,Regular,,,,,
ယူဖိုးကမာရွတ်,U4KaMarYut,U4KaMarYut,,Regular,,,,,
ယူဖိုးလမ်းမတော်,U4LanMaDaw,U4LanMaDaw,,Regular,,,,,
ယူဖိုးလသာ,U4LaTha,U4LaTha,,Regular,,,,,
ယူဖိုးမင်္ဂလာဒုံ,U4Mingalardon,U4Mingalardon,,Regular,,,,,
ယူဖိုးပုဇွန်တောင်,U4PaZunDaung,U4PaZunDaung,,Regular,,,,,
ယူဖိုးသာကေတ,U4ThaKeTa,U4ThaKeTa,,Regular,,,,,
အေပုဂံ,A_Pagan,A_Pagan,,Normal Heavy,A & T Group,,,,
ကင်းဂရက်စ်,KingPress,KingPress,,Regular,Fontographer 3.5,,,,
အက်ထရု,ArtTrue,ArtTrue,,Regular Italic,Khin Mg Latt (Geocomp Myanmar),,,,
ဝင်းသရေခေတ္တရာ,WinThaYeyKitTaRa,WinThaYeyKitTaRa,,A,M.C.C ENGINEER GROUP,,,,
အေရာမော်ဒန်ထရု,AeyarModernTrue,AeyarModernTrue,,Bold Italic BoldItalic Normal,Khin Mg Latt (Geocomp Myanmar),,,,
အင်းမေ့,Image,Image,,Normal,Sein Arka Computers,,,,
ကေဂျီမြန်မာ,KgMyanmar,KgMyanmar,,Regular,King Computer,,,,
ဝင်းမိုနိုတိုက်,WinMonotype,WinMonotype,,A,Zaw Htut,,,,
ကင်းရိုးမ,KingYoma,KingYoma,,Regular,King Computer,,,,
ဝင်းကာရီရာ,WinCourier,WinCourier,,Regular,Win Tun (Mr Burma),,,,
ဝင်းဟန်ပုဂံ,WinHanPagan,WInHanPagan,,A,Win Tun & Maung Han,,,,
အက်စ်အေကေပီးကော့,SakPeacock,SakPeacock,,Normal,Sein Arka Computers,,,,
ဧရာနဒီထရု,AyarNadiTrue,AyarNadiTrue,,Normal Italic,Khin Mg Latt (Geocomp Myanmar),,,,
ဝင်းပုညကုန်း,WinPonnyaCond,WinPonnyaCond,,Light Bold ExtraBold,Win Tun (Mr Burma) & Maung Han,,,,
ဟန်နွယ်သာကီ,HanNweThaKi,HanNweThaKi,,Normal,Maung Han,,,,
ဟန်အိုဗယ်အင်းစက်,HanOvelInserat,HanOvelInserat,,Heavy,Maung Han,,,,
ဟန်ပုပ္ပါး,HanPoppa,HanPoppa,,Heavy,Maung Han,,,,
ဝင်းသံလွင်,WinThanLwin,WinThanLwin,,Bold,M.C.C ENGINEER GROUP,,,,
ဝင်းစုကြည်,WinSuuKyi,WinSuuKyi,,Normal Italic,Win Tun (Mr Burma),,,,
ဟယ်ရီတန်,Harrington,Harrington,,Regular,The Font Bureau,,,,
ဗမာ,Burma,Burma,,Normal,Win Tun (Mr Burma) & Maung Han,,,,
ပုပ္ပါး,Popa,Popa,,Regular,Gustaaf Houtman ,,,,
အင်ကြင်း,InGyin,InGyin,,Normal,Win Tun,,,,
အေရို့စ်,A_Rose,A_Rose,,Normal,A & T Computer Group,,,,
အကယ်ဒမီသစ်ထရု,AcademyThickTrue,AcademyThickTrue,,Normal Bold Italic BoldItalic,Khin Mg Latt (Geocomp Myanmar),,,,
ဝင်းချို,WinCho,WinCho ,,A,Win Tun (Mr Burma),,,,
ဝင်းဆိုင်ကယ်,WinCircle,WinCircle,,Bold Medium ExtraBold,Win Tun (Mr Burma),,,,
ရွှေရီ,ShweYee,ShweYee,,ExtraLight,Maung Maung Tun,,,,
ဟာလိုဆောလစ်,HarlowSolid,HarlowSolid,,Italic,URW Software,,,,
ဝင်းတိုက်ရိုက်တာ,WinTypeWriter,WinTypeWriter,,Normal Bold ExtraBold,Win Tun (Mr Burma),,,,
ဧရာနဒီပလိန်းထရု,AeyarNadiPlainTrue,AeyarNadiPlainTrue,,Normal Italic,Khin Mg Latt (Geocomp Myanmar),,,,
ဝင်းလှိုင်,WinHlaing,WinHlaing,,Medium ,Win Tun (Mr Burma),,,,
ဝင်းထားဝယ်,WinDawei,WinDawei,,A,M.C.C ENGINEER GROUP,,,,
အေပင်းယ,A_Pinya,A_Pinya,,Normal,Photographer 3.5,,,,
ဝင်းဖြူကုန်း,WinPyuCond,WinPhyuCond,,Normal,Win Tun (Mr Burma),,,,
ဝင်းဟန်,WinHan ,WinHan ,,Normal,Win Tun and Maung Han,,,,
ဝေါနက်,WorldNet,WorldNet,,Regular,Iconian font,,,,
ကေတီအို,KTO,KTO,,KTO_1 KTO_2 KTO_3 KTO_4 KTO_5,Htun Oo,,,,
ကေဂျီသန္တာ,KgThunder,KgThunder,,Regular ,King Computer,,,,
ဝေါမက်,WorldMath,WorldMath,,Regular,Aphabets,,,,
ဝင်းဟဲဟိုး,WinHeho,WinHeho,,A,M.C.C ENGINEER GROUP,,,,
အက်စ်အေကေရိုင်ရယ်,SakRoyal,SakRoyal,,Normal,Sein Arka Computers,,,,
အက်စ်အေကေပတ္တမြား,SakPadamya,SakPadamya,,Noraml,Sein Arka Computers,,,,
အက်စ်အေကေတူးလိုင်း,SakTwoLine,SakTwoLine,,Normal,Sein Arka Computers,,,,
အက်စ်အေကေသစ်,SakThick,SakThick,,Normal,Sein Arka Computers,,,,
ဝင်းချင်း,WinChin,WinChin,,A,M.C.C ENGINEER GROUP,,,,
ဝင်းအီလစ်,WinEllipse,WinEllipse,,ExtraHeavy,Win Tun (Mr Burma),,,,
အက်စ်အေကေစိမ်းအာကာ,SakSeinArka,SakSeinArka,,Normal,Sein Arka Computers,,,,
အိတ်အေတူးလိုင်း,Ha2Line,Ha2Line,,Normal,"Han Than Htun, Sett Aung Khaing",,,,
ဝင်းလားရှိုး,WinLaSho,WinLaSho,,A,Zaw Htut,,,,
ဝင်းမက်,WinMap,WinMap,,Normal,Win Tun (Mr Burma),,,,
ဝင်းဖြူး,WinPyu ,WinPyu,,Normal,Win Tun (Mr Burma),,,,
အိတ်တူးလိုင်း,H2Lines,H2Lines,,Normal,Han Than Htun ,,,,
ဝင်းအီရာ,WinEra,WinEra,,Regular,Win Tun (Mr Burma),,,,
ဒဗလျူးအိတ်ပုည,WhPonnya,WhPonnya,,Bold Light,Win Tun & Maung Han,,,,
ကေဂျီ,Kg,Kg,,Normal,King Computer,,,,
ကေဂျီအိုဗယ်ဖလတ်,KgOvalflat,KgOvalflat,,Regular,King Computer,,,,
ကေဂျီချစ်,KgChit,KgChit,,Regular,King Computer,,,,
ကေဂျီဖန်စီ,KgFuncy,KgFuncy,,Regular, Myint Lwynn under support of Tint Lwynn(I.C.S.T)-King Computer ,,,,
ကေဂျီနန့်,KgNand,KgNand,,Regular,King Computer,,,,
မာစတာပိစ့်ဒီဇိုင်း,MasterpieceDesign,MasterpieceDesign,,Bold Regular,Cotoe,,,,
မာစတာပိစ့်ဒီဇိုင်းအောက်လိုင်း,MasterpieceDesignOutline,MasterpieceDesignOutline,,Regular,Cotoe,,,,
မာစတာပိစ့်ဒီပလိုမာ,MasterpieceDiploma,MasterpieceDiploma,,Regular,Cotoe,,,,
မာစတာပိစ့်ဒီပလိုမာအောက်လိုင်း,MasterpieceDiplomaOutline,MasterpieceDiplomaOutline,,Regular,Cotoe,,,,
မာစတာပိစ့်ဖရီးဟန်း,MasterpieceFreehand,MasterpieceFreehand,,Regular,Cotoe,,,,
မာစတာပိစ့်ဟန်း,MasterpieceHand,MasterpieceHand,,Regular,Cotoe,,,,
မာစတာပိစ့်ကစ်,MasterpieceKids,MasterpieceKids,,Regular,Cotoe,,,,
မာစတာပိစ့်နော်မယ်,MasterpieceNormal,MasterpieceNormal,,Regular Bold,Myo Gyi,,,,
မာစတာပိစ့်နောမယ်အောက်လိုင်း,MasterpieceNormalOutline,MasterpieceNormalOutline,,Regular,Myo Gyi,,,,
မာစတာပိစ့်အောက်တဂွန်,MasterpieceOctagon,MasterpieceOctagon,,Regular,Cotoe,,,,
မာစတာပိစ့်အောက်တဂွန်အောက်လိုင်း,MasterpieceOctagonOutline,MasterpieceOctagonOutline,,Regular,Cotoe,,,,
မာစတာပိစ့်အောက်တဂွန်ခရက်စ်,MasterpieceOctagonCrack,MasterpieceOctagonCrack,,Regular,Cotoe,,,,
မာစတာပိစ့်အော်တဂွန်လိုင်း,MasterpieceOctangonLines,MasterpieceOctagonLines,,Regular,Cotoe,,,,
မာစတာပိစ့်အိုဗယ်,MasterpieceOval,MasterpieceOval,,Regular,Cotoe,,,,
မာစတာပိစ့်ရက်တန်ဂယ်,MasterpieceRectangle,MasterpieceRectangle,,Regular,Cotoe,,,,
မာစတာပိစ့်ရက်တန်ဂယ်အောက်လိုင်း,MasterpieceRectangleOutline,MasterpieceRectangleOutline,,Regular,Cotoe,,,,
မာစတာပိစ့်ဝရောင်း,MasterpieceRound,MasterpieceRound,,Regular Bold,Cotoe,,,,
မာစတာပိစ့်စီးမီးအိုဗယ်,MasterpieceSemiOval,MasterpieceSemiOval,,Regular,Ne Lin Oo,,,,
မာစတာပိစ့်စီးမီးအိုဗယ်အောက်လိုင်း,MasterpieceSemiOvalOutline,MasterpieceSemiOvalOutline,,Regular ,Ne Lin Oo,,,,
မာစတာပိစ့်ရှိတ်,MasterpieceShade,MasterpieceShade,,Regular,Cotoe,,,,
မာစတာပိစ့်ရှိတ်အောက်လိုင်း,MasterpieceShadeOutline,MasterpieceShadeOutline,,Regular,Cotoe,,,,
မာစတာပိစ့်စတုတ်,MasterpieceStroke,MasterpieceStroke,,Regular,Cotoe,,,,
မာစတာပိစ့်စတုတ်တွင်,MasterpieceStrokeTwin,MasterpieceStrokeTwin,,Regular,Cotoe,,,,
မာစတာပိစ့်ဗွီဇီရိုးစတုတ်,MasterpieceV0Stroke,MasterpieceV0Stroke,,Regular,Cotoe,,,,
မာစတာပိစ့်ဗီဇီရိုးစတုတ်တွင်,MasterpieceV0StrokeTwin,MasterpieceV0StrokeTwin,,Regular,Cotoe,,,,
မြန်မာယင်းမာ,MyanmarYinmar,MyanmarYinmar,unicode,Regular,Danh Hong,,,,